supliers_id;suppliers_type_id; inn;quality_rating;start_date
1;1;1718185951;36;20.12.2011
2;2;1878504395;2;13.09.2012
3;3;1564667734;79;23.12.2016
4;1;2293562756;64;27.05.2019
5;4;1755853973;14;16.06.2015
6;3;1429908355;50;27.12.2010
7;5;1944834477;20;10.04.2011
8;3;1488487851;58;13.03.2012
9;6;2152486844;59;11.11.2018
10;1;1036521658;67;23.11.2011
11;3;1178826599;5;07.07.2012
12;2;1954050214;42;23.07.2011
13;2;1163880101;10;23.05.2016
14;2;1654184411;3;25.06.2015
15;3;1685247455;85;09.03.2017
16;3;1002996016;95;07.05.2015
17;5;1102143492;36;22.12.2014
18;3;2291253256;82;22.05.2015
19;4;1113468466;21;25.11.2011
20;1;1892306757;26;20.12.2016
21;2;1965011544;51;16.03.2015
22;2;1949139718;95;28.11.2011
23;2;1740623312;86;20.11.2011
24;3;1014490629;73;28.10.2019
25;5;1255275062;76;04.09.2014
26;2;2167673760;9;13.11.2013
27;2;2200735978;8;11.01.2015
28;1;1404774111;89;28.06.2013
29;6;1468114280;70;07.12.2018
30;2;1032089879;66;13.08.2012
31;6;2027005945;11;22.06.2016
32;2;1076279398;37;23.09.2015
33;2;2031832854;25;25.11.2011
34;6;1551173338;60;28.07.2011
35;1;1906157177;82;06.03.2011
36;3;1846812080;30;26.02.2011
37;3;2021607106;42;03.10.2015
38;1;1371692583;23;19.10.2015
39;2;2164720385;7;28.09.2018
40;3;1947163072;33;18.11.2013
41;5;1426268088;46;09.11.2018
42;3;1988313615;95;13.01.2018
43;3;2299034130;3;10.02.2012
44;5;2059691335;18;04.08.2014
45;6;1794419510;85;22.12.2015
46;5;1650212184;80;09.12.2018
47;6;1019917089;19;24.04.2017
48;3;1549496316;68;18.06.2013
49;2;2275526397;92;20.06.2011
50;6;2170198203;11;01.05.2010
